symbrenthia lilaea
byasa polyeuctes
jamides alecto
spindasis vulcanus
lampides boeticus
leptosia nina
loxura atymnus
tagiades gana
junonia iphita
prioneris thestylis
lethe europa
papilio helenus
lebadea martha
euthalia lubentina
notocrypta paralysos
junonia lemonias
euploea core
parantica aglea
thaumantis diores
anthene emolus
parasarpa dudu
jamides celeno
rohana parisatis
cethosia cyane
stibochiona nicea
eurema hecabe
acraea issoria
graphium cloanthus
zeltus amasa
parthenos sylvia
arhopala centaurus
matapa aria
graphium agamemnon
mycalesis anaxias
papilio paris
vindula erota
kaniska canace
junonia hierta
chersonesia risa
neopithecops zalmora
libythea myrrha
cepora nadina
ariadne ariadne
megisba malaya
lamproptera curius
zemeros flegyas
moduza procris
lethe confusa
papilio memnon
melanitis leda
pachliopta aristolochiae
junonia atlites
poritia hewitsoni
ypthima huebneri
papilio demoleus
pseudocoladenia dan
lethe verma
elymnias hypermnestra
udaspes folus
graphium antiphates
appias indra
abisara fylla
euthalia monina
discolampa ethion
vagrans egista
graphium sarpedon
danaus chrysippus
acytolepis puspa
troides helena
junonia orithya
graphium doson
ypthima baldus
neptis hylas
charaxes bernardus
tirumala limniace
leptotes plinius
iraota timoleon
danaus genutia
athyma ranga
appias olferna
cheritra freja
euripus nyctelius
tirumala septentrionis
eurema blanda
eurema andersonii
cepora nerissa
hypolycaena erylus
appias libythea
athyma selenophora
pseudozizeeria maha
discophora sondaica
papilio nephelus
mycalesis mineus
caleta elna
chilades pandava
rapala pheretima
athyma perius
jamides bochus
tanaecia lepidea
tagiades litigiosa
cethosia biblis
doleschallia bisaltide
cyrestis thyodamas
zizina otis
notocrypta curvifascia
pseudergolis wedah
pareronia hippia
orsotriaena medus
ariadne merione
euthalia aconthea
euploea mulciber
delias descombesi
cirrochroa tyche
pantoporia hordonia
hypolimnas misippus
acraea violae
ixias pyrene
junonia almana
delias pasithoe
chilasa clytia
catopsilia pomona
castalius rosimon
lexias dirtea
spindasis lohita
hebomoia glaucippe
eurema laeta
phaedyma columella
papilio protenor
prosotas dubiosa
talicada nyseus
phalanta phalantha
melanitis phedima
delias hyparete
appias lyncida
papilio polytes
heliophorus epicles
euchrysops cnejus
tanaecia julii
sumalia daraxa
cupha erymanthis
