|                        :vn-name |                       :name | :no-imgs | :no-vn-imgs | :train? |
|---------------------------------+-----------------------------+----------+-------------+---------|
|                    Bướm lãng tử |           Castalius_rosimon |      407 |           4 |       ✅ |
|            Bướm mắt rắn bay đêm |              Melanitis_leda |      393 |           4 |       ✅ |
|               Bướm cam đuôi dài |             Papilio_polytes |      360 |           4 |       ✅ |
|                     Bướm hổ cam |           Danaus_chrysippus |      358 |           4 |       ✅ |
|                    Bướm hại tuế |            Chilades_pandava |      356 |           4 |       ✅ |
|                Bướm chanh di cư |           Catopsilia_pomona |      340 |           4 |       ✅ |
|                 Bướm phượng cam |            Papilio_demoleus |      311 |           4 |       ✅ |
|          Bướm quạ chót cánh bạc |                Euploea_core |      289 |           4 |       ✅ |
|                  Bướm lính thủy |                Neptis_hylas |      285 |           4 |       ✅ |
|         Bướm cánh vàng viền đen |               Eurema_hecabe |      283 |           4 |       ✅ |
|                Bướm nhỏ bốn mắt |            Ypthima_huebneri |      283 |           4 |       ✅ |
|    Bướm xanh tím dải trắng rộng |           Lampides_boeticus |      281 |           4 |       ✅ |
|                    Bướm hoa nâu |            Junonia_lemonias |      278 |           4 |       ✅ |
|               Bướm mạo danh nhỏ |         Hypolimnas_misippus |      275 |           4 |       ✅ |
|              Bướm hoa đuôi công |              Junonia_almana |      271 |           4 |       ✅ |
|                     Bướm hổ vằn |              Danaus_genutia |      267 |           4 |       ✅ |
|       Bướm xanh nhỏ chấm thường |                 Zizina_otis |      266 |           4 |       ✅ |
|               Bướm nhãn lồng đỏ |               Acraea_violae |      255 |           4 |       ✅ |
|                   Bướm xanh lục |         Pseudozizeeria_maha |      255 |           4 |       ✅ |
|                Bướm năm đốm mắt |              Ypthima_baldus |      250 |           4 |       ✅ |
|                 Bướm lang thang |            Pareronia_hippia |      250 |           4 |       ✅ |
|                    Bướm hổ xanh |           Tirumala_limniace |      247 |           4 |       ✅ |
|             Bướm cỏ cánh sau đỏ |             Talicada_nyseus |      222 |           4 |       ✅ |
|                 Bướm màu socola |              Junonia_iphita |      221 |           4 |       ✅ |
|                 Bướm nâu ba đốm |           Euthalia_aconthea |      221 |           4 |       ✅ |
|                 Bướm màu cà rốt |              Loxura_atymnus |      212 |           4 |       ✅ |
|                       Bướm lông |               Leptosia_nina |      210 |           4 |       ✅ |
|              Bướm phấn vàng cam |                Ixias_pyrene |      209 |           4 |       ✅ |
|                Bướm cánh bản đồ |          Cyrestis_thyodamas |      204 |           4 |       ✅ |
|                 Bướm ngụy trang |              Chilasa_clytia |      202 |           4 |       ✅ |
|                     Bướm hổ đốm |             Parantica_aglea |      202 |           4 |       ✅ |
|                   Bướm đốm xanh |      Tirumala_septentrionis |      198 |           4 |       ✅ |
|               Bướm sọc bạc liền |            Spindasis_lohita |      197 |           4 |       ✅ |
|              Bướm hoa xanh ngọc |             Junonia_orithya |      195 |           4 |       ✅ |
|                      Bướm ma cỏ |               Udaspes_folus |      193 |           4 |       ✅ |
|               Bướm nhỏ tím xanh |            Prosotas_dubiosa |      186 |           4 |       ✅ |
|               Bướm cánh vân hoa |             Junonia_atlites |      186 |           4 |       ✅ |
|                  Bướm đuôi chim |          Graphium_agamemnon |      178 |           4 |       ✅ |
|       Bướm lông mượt không chấm |             Ariadne_merione |      171 |           4 |       ✅ |
|                    Bướm báo hoa |          Phalanta_phalantha |      170 |           4 |       ✅ |
|                    Bướm chỉ huy |              Moduza_procris |      165 |           4 |       ✅ |
|                   Bướm hoa vàng |              Junonia_hierta |      164 |           4 |       ✅ |
|                   Bướm hoa xanh |              Graphium_doson |      162 |           4 |       ✅ |
|            Bướm xám nhỏ có đuôi |              Megisba_malaya |      159 |           4 |       ✅ |
