prosotas dubiosa
pseudocoladenia dan
euploea core
delias pasithoe
heliophorus epicles
lebadea martha
parantica aglea
vagrans egista
kaniska canace
euthalia monina
appias lyncida
zemeros flegyas
ypthima huebneri
symbrenthia lilaea
hebomoia glaucippe
rohana parisatis
discophora sondaica
caleta elna
athyma selenophora
anthene emolus
moduza procris
parthenos sylvia
eurema hecabe
papilio bianor
phaedyma columella
troides helena
junonia lemonias
lethe verma
papilio polytes
euploea mulciber
graphium antiphates
junonia atlites
cupha erymanthis
megisba malaya
zizina otis
euripus nyctelius
papilio protenor
euthalia lubentina
danaus chrysippus
lethe europa
cirrochroa tyche
cheritra freja
tirumala limniace
ariadne ariadne
pseudozizeeria maha
lethe confusa
chilasa clytia
graphium sarpedon
prioneris thestylis
zeltus amasa
ariadne merione
graphium doson
junonia iphita
elymnias hypermnestra
tagiades litigiosa
neptis hylas
charaxes bernardus
loxura atymnus
lamproptera curius
lexias dirtea
euthalia aconthea
neopithecops zalmora
papilio paris
catopsilia pomona
papilio demoleus
athyma perius
tanaecia julii
talicada nyseus
hypolycaena erylus
phalanta phalantha
thaumantis diores
pachliopta aristolochiae
acraea violae
junonia hierta
byasa polyeuctes
athyma ranga
eurema blanda
melanitis phedima
castalius rosimon
delias hyparete
spindasis vulcanus
chersonesia risa
acraea issoria
vindula erota
doleschallia bisaltide
spindasis lohita
papilio nephelus
notocrypta paralysos
udaspes folus
tagiades gana
discolampa ethion
chilades pandava
melanitis leda
mycalesis mineus
delias descombesi
pareronia hippia
junonia almana
cepora nadina
cyrestis thyodamas
danaus genutia
papilio helenus
rapala pheretima
cethosia cyane
mycalesis anaxias
jamides alecto
tirumala septentrionis
papilio memnon
libythea myrrha
appias libythea
iraota timoleon
orsotriaena medus
graphium agamemnon
cethosia biblis
junonia orithya
matapa aria
hypolimnas misippus
ypthima baldus
ixias pyrene
lampides boeticus
leptosia nina
tanaecia lepidea
pantoporia hordonia
